Ca,CdTe,M_Cd,2.065,7.888,2,1,4,2,0,0,4,0.05,-72.332,0.33,-277.9,0.481,-156,-0.69,-28,0
Nb,CdTe,M_i_Te_site,0.569,1.766,0,3,5,5,0.75,3,4,0.64,92.9064,1.34,664,1.429,96,1.6,41,5
P,CdSe,M_i_old,1.314,3.72,0,1,3,15,0.5,3,3,0.17,30.97376,1.06,1011.7,1.28,71.7,2.19,15,5
Mo,CdTe,M_i_Cd_site,1.309,3.702,0,0,5,6,0.25,4,3,0.59,95.94,1.3,684.9,1.362,96,2.16,42,6
S,CdS,M_i_S_site,-0.047,0.954,0,2,3,16,0.75,3,4,0.29,32.066,1.02,999.58,1.27,200.42,2.58,16,6
Hg,CdTe,M_i_Cd_site,2.415,11.194,0,-2,6,12,0.25,4,3,1.02,200.59,1.49,1007,1.6,0,2,80,2
C,CdTe,M_i_old,2.418,11.228,0,-2,2,14,0.5,3,3,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4
Si,CdTe,M_Cd,-0.834,0.434,2,5,3,14,0,0,4,-0.69,-84.3245,-0.3,-81.3,-0.169,133.6,0.21,-34,2
Cr,CdTe,M_i_Te_site,-0.073,0.93,0,2,4,6,0.75,3,4,0.62,51.996,1.18,652.8,1.249,64,1.66,24,6
Mo,CdTe,M_Te,0.68,1.974,-2,-1,5,6,1,4,0,-0.38,-31.66,-0.06,-184.3,-0.238,-94.15,0.06,-10,0
Te,CdTe,M_i_Cd_site,2.222,9.223,0,-2,5,16,0.25,4,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
C,CdTe,M_i_Te_site,1.36,3.898,0,0,2,14,0.75,3,4,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4
Rh,CdTe,M_Cd,1.424,4.153,2,1,5,9,0,0,4,-0.28,-9.5045,-0.16,-147.7,-0.144,120,0.59,-3,4
S,CdTe,M_i_old,0.345,1.413,0,2,3,16,0.5,3,3,0.29,32.066,1.02,999.58,1.27,200.42,2.58,16,6
Sr,CdTe,M_i_Te_site,1.122,3.07,0,2,5,2,0.75,3,4,1.26,87.62,1.91,549.5,2.15,-168,0.95,38,2
Au,CdTe,M_Cd,2.238,9.374,2,0,6,11,0,0,4,-0.1,84.5565,-0.07,22.4,-0.047,222.74,0.85,31,1
I,CdTe,M_Te,2.123,8.356,-2,-3,5,17,1,4,0,1.23,-0.6955,-0.03,139.2,-0.27,105.15,0.56,1,1
Cd,CdS,M_i_S_site,2.775,16.035,0,-1,5,12,0.75,3,4,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
I,CdTe,M_i_Te_site,0.293,1.34,0,1,5,17,0.75,3,4,2.2,126.9045,1.33,1008.4,1.33,295.3,2.66,53,7
Sr,CdSe,M_i_Se_site,-0.583,0.558,0,3,5,2,0.75,3,4,1.26,87.62,1.91,549.5,2.15,168,0.95,38,2
Pb,CdSe,M_Cd,2.974,19.561,2,0,6,14,0,0,4,0.24,94.79,0.06,-152.2,0.261,110,0.64,34,2
K,CdTe,M_i_old,1.838,6.284,0,0,4,1,0.5,3,3,1.51,39.0983,2.03,418.8,2.35,48.36,0.82,19,1
Hf,CdTe,M_i_Cd_site,2.529,12.542,0,-2,6,4,0.25,4,3,0.83,178.49,1.44,642,1.564,0,1.3,72,4
Li,CdTe,M_i_Cd_site,-0.75,0.473,0,3,2,1,0.25,4,3,0.76,6.941,1.23,520.2,1.55,59.8,0.98,3,1
Ba,CdTe,M_i_Cd_site,-0.543,0.581,0,3,6,2,0.25,4,3,1.42,137.33,1.98,502.9,2.22,-52,0.89,56,2
Rb,CdTe,M_Te,2.544,12.727,-2,-4,5,1,1,4,0,0.64,-42.1322,0.8,-466.2,0.88,-143.26,-1.28,-15,-2
Zr,CdS,M_Cd,2.779,16.104,2,1,5,4,0,0,4,-0.11,-21.186,0.04,-207.7,0.111,50,-0.36,-8,2
Co,CdTe,M_i_Te_site,1.675,5.336,0,0,4,9,0.75,3,4,0.65,58.9332,1.16,758,1.253,70,1.88,27,3
Ba,CdTe,M_i_Cd_site,2.295,9.922,0,-1,6,2,0.25,4,3,1.42,137.33,1.98,502.9,2.22,-52,0.89,56,2
Ga,CdTe,M_i_Cd_site,-0.724,0.485,0,3,4,13,0.25,4,3,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3
Tl,CdTe,M_i_Te_site,2.754,15.706,0,-2,6,13,0.75,3,4,1.59,204.383,1.48,589.3,1.71,30,2.04,81,3
Au,CdTe,M_i_Cd_site,-0.745,0.475,0,3,6,11,0.25,4,3,0.85,196.9665,1.34,890.1,1.442,222.74,2.54,79,3
Ga,CdTe,M_i_Te_site,1.301,3.672,0,1,4,13,0.75,3,4,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3
Sb,CdTe,M_i_Te_site,1.723,5.604,0,-1,5,15,0.75,3,4,0.76,121.757,1.4,833.7,1.59,101,2.05,51,5
Na,CdTe,M_Te,0.347,1.415,-2,1,3,1,1,4,0,0.05,-104.61023,0.18,-373.4,0.3,-137.45,-1.17,-41,-5
Cd,CdSe,M_i_old,2.027,7.588,0,0,5,12,0.5,3,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Li,CdTe,M_i_old,-0.7,0.497,0,3,2,1,0.5,3,3,0.76,6.941,1.23,520.2,1.55,59.8,0.98,3,1
In,CdTe,M_i_Cd_site,-0.257,0.774,0,2,5,13,0.25,4,3,0.8,114.82,1.44,558.3,1.66,29,1.78,49,3
S,CdTe,M_Te,2.272,9.703,-2,-4,3,16,1,4,0,-0.68,-95.534,-0.34,130.38,-0.33,10.27,0.48,-36,0
Sc,CdTe,M_i_Cd_site,0.994,2.702,0,2,4,3,0.25,4,3,0.75,44.9559,1.44,631,1.606,18.1,1.36,21,3
In,CdTe,M_Cd,-0.805,0.447,2,5,5,13,0,0,4,-0.15,2.41,0.03,-309.4,0.171,29,0.09,1,1
As,CdS,M_i_old,1.723,5.602,0,1,4,15,0.5,3,3,0.58,74.9216,1.2,947,1.39,77,2.16,33,5
V,CdTe,M_Te,-0.162,0.85,-2,0,4,5,1,4,0,-0.43,-76.6585,-0.14,-219.2,-0.279,-140.15,-0.47,-29,-1
Be,CdTe,M_Cd,1.398,4.048,2,2,2,2,0,0,4,-0.5,-103.39782,-0.51,31.7,-0.369,-240,-0.12,-44,0
Ti,CdTe,M_i_Cd_site,0.488,1.629,0,2,4,4,0.25,4,3,0.61,47.88,1.32,658,1.448,20,1.54,22,4
Ti,CdTe,M_i_Te_site,1.353,3.867,0,1,4,4,0.75,3,4,0.61,47.88,1.32,658,1.448,20,1.54,22,4
F,CdTe,M_Te,-0.549,0.578,-2,0,2,17,1,4,0,0.36,-108.6016,-0.64,811.8,-0.88,137.85,1.88,-43,-5
F,CdTe,M_Te,-0.848,0.428,-2,1,2,17,1,4,0,0.36,-108.6016,-0.64,811.8,-0.88,137.85,1.88,-43,-5
Rh,CdTe,M_Te,-0.26,0.771,-2,-1,5,9,1,4,0,-0.3,-24.6945,-0.11,-149.2,-0.255,-70.15,0.18,-7,0
W,CdTe,M_Te,-0.785,0.456,-2,1,6,6,1,4,0,-0.37,56.25,-0.06,-99.2,-0.23,-130.15,0.26,22,0
C,CdTe,M_i_Te_site,1.058,2.881,0,1,2,14,0.75,3,4,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4
La,CdTe,M_i_Cd_site,1.122,3.07,0,2,6,3,0.25,4,3,1.16,138.9055,1.25,538.1,1.877,50,1.1,57,3
Mn,CdTe,M_Cd,-0.214,0.807,2,3,4,7,0,0,4,-0.28,-57.472,-0.24,-150.3,-0.249,0,-0.14,-23,5
Nb,CdTe,M_i_old,1.028,2.795,0,2,5,5,0.5,3,3,0.64,92.9064,1.34,664,1.429,96,1.6,41,5
Rb,CdS,M_i_S_site,2.378,10.785,0,0,5,1,0.75,3,4,1.61,85.4678,2.16,403,2.48,46.89,0.82,37,4
Bi,CdSe,M_i_Cd_site,2.655,14.221,0,-2,6,15,0.25,4,3,1.03,208.9804,1.46,703.3,1.7,110,2.02,83,5
S,CdTe,M_Cd,1.081,2.948,2,1,3,16,0,0,4,-0.66,-80.344,-0.39,131.88,-0.219,200.42,0.89,-32,4
Zr,CdTe,M_Cd,2.093,8.111,2,1,5,4,0,0,4,-0.11,-21.186,0.04,-207.7,0.111,50,-0.36,-8,2
Rh,CdS,M_i_S_site,-0.419,0.658,0,3,5,9,0.75,3,4,0.67,102.9055,1.25,720,1.345,120,2.28,45,6
Ga,CdTe,M_Te,1.543,4.677,-2,-4,4,13,1,4,0,-0.35,-57.877,-0.1,-290.4,-0.19,-161.15,-0.29,-21,-3
Se,CdTe,M_Te,1.917,6.8,-2,-3,4,16,1,4,0,-0.47,-48.64,-0.2,71.7,-0.2,4.81,0.45,-18,0
Re,CdTe,M_Cd,-0.368,0.692,2,5,6,7,0,0,4,-0.42,73.797,-0.13,-107.7,-0.119,14,0.21,27,5
Cs,CdTe,M_i_old,1.864,6.447,0,0,6,1,0.5,3,3,1.74,132.9054,2.35,375.7,2.67,45.49,0.79,55,1
Na,CdTe,M_i_Te_site,1.762,5.823,0,0,3,1,0.75,3,4,1.02,22.98977,1.54,495.8,1.9,52.7,0.93,11,1
Pb,CdTe,M_Te,2.128,8.4,-2,-4,6,14,1,4,0,0.22,79.6,0.11,-153.7,0.15,-80.15,0.23,30,-2
V,CdTe,M_i_old,1.683,5.38,0,0,4,5,0.5,3,3,0.54,50.9415,1.22,650,1.321,50,1.63,23,5
Pb,CdTe,M_i_Cd_site,1.827,6.215,0,0,6,14,0.25,4,3,1.19,207.2,1.47,715.5,1.75,110,2.33,82,4
As,CdS,M_i_old,0.665,1.944,0,2,4,15,0.5,3,3,0.58,74.9216,1.2,947,1.39,77,2.16,33,5
Ga,CdTe,M_i_old,1.324,3.759,0,1,4,13,0.5,3,3,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3
O,CdTe,M_i_old,0.459,1.583,0,-1,2,16,0.5,3,3,1.4,15.9994,0.73,1313.9,0.73,141.1,3.44,8,2
Sb,CdTe,M_i_Cd_site,0.449,1.567,0,3,5,15,0.25,4,3,0.76,121.757,1.4,833.7,1.59,101,2.05,51,5
Tl,CdTe,M_i_Te_site,2.267,9.655,0,-1,6,13,0.75,3,4,1.59,204.383,1.48,589.3,1.71,30,2.04,81,3
